1. 
        city_name         | state_nm | origin_destination |                   unique_carrier_name                   | passengers 
 Montrose/Delta, CO        | Colorado | MTJ                | Mesa Airlines Inc.                                      |       1648
 Colorado Springs, CO      | Colorado | COS                | Miami Air International                                 |          0
 Denver, CO                | Colorado | DEN                | Omni Air International LLC                              |          0
 Denver, CO                | Colorado | DEN                | Peninsula Airways Inc.                                  |         82
 Denver, CO                | Colorado | DEN                | Peninsula Airways Inc.                                  |        645
 Denver, CO                | Colorado | DEN                | Peninsula Airways Inc.                                  |        423
 Denver, CO                | Colorado | DEN                | Peninsula Airways Inc.                                  |        343
 Denver, CO                | Colorado | APA                | Peninsula Airways Inc.                                  |          5
 Denver, CO                | Colorado | DEN                | Peninsula Airways Inc.                                  |        176
 Denver, CO                | Colorado | DEN                | Peninsula Airways Inc.                                  |         37
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        308
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |         60
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |         33
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |         65
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |         69
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        193
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        190
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        169
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        197
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        213
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        122
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       1232
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       1222
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       3090
 Colorado Springs, CO      | Colorado | COS                | Republic Airlines                                       |       2188
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       3288
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        127
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       1203
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        132
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       1973
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       1289
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       1430
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       1666
 Colorado Springs, CO      | Colorado | COS                | Republic Airlines                                       |       1667
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       1354
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       1891
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        276
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        256
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       1616
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        137
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        112
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |       1052
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        397
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        387
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |        400
 Colorado Springs, CO      | Colorado | COS                | Republic Airlines                                       |         73
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |         70
 Denver, CO                | Colorado | DEN                | Republic Airlines                                       |         65
 Denver, CO                | Colorado | DEN                | SkyWest Airlines Inc.                                   |        141
 Denver, CO                | Colorado | DEN                | SkyWest Airlines Inc.                                   |        131
 Denver, CO                | Colorado | DEN                | SkyWest Airlines Inc.                                   |        131
 Denver, CO                | Colorado | DEN                | SkyWest Airlines Inc.                                   |        201
 Denver, CO                | Colorado | DEN                | SkyWest Airlines Inc.                                   |        206
 Montrose/Delta, CO        | Colorado | MTJ                | SkyWest Airlines Inc.                                   |        140
 Denver, CO                | Colorado | DEN                | SkyWest Airlines Inc.                                   |        188
 Denver, CO                | Colorado | DEN                | SkyWest Airlines Inc.                                   |        260
 Denver, CO                | Colorado | DEN                | SkyWest Airlines Inc.                                   |        277
 Denver, CO                | Colorado | DEN                | SkyWest Airlines Inc.                                   |        236
 Durango, CO               | Colorado | DRO                | SkyWest Airlines Inc.                                   |        164
